Galaxy    ,Distance (Mpc),Velocity (km/s)
NGC   300 ,2,133
NGC   925 ,9.16,664
NGC 1326A ,16.14,1794
NGC  1365 ,17.95,1594
NGC  1425 ,21.88,1473
NGC  2403 ,3.22,278
NGC  2541 ,11.22,714
NGC  2090 ,11.75,882
NGC  3031 ,3.63,80
NGC  3198 ,13.8,772
NGC  3351 ,10,642
NGC  3368 ,10.52,768
NGC  3621 ,6.64,609
NGC  4321 ,15.21,1433
NGC  4414 ,17.7,619
NGC 4496A ,14.86,1424
NGC  4548 ,16.22,1384
NGC  4535 ,15.78,1444
NGC  4536 ,14.93,1423
NGC  4639 ,21.98,1403
NGC  4725 ,12.36,1103
IC  4182  ,4.49,318
NGC  5253 ,3.15,232
NGC  7331 ,14.72,999